model,seed,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
empirical_group_offset_prior_train_only,train_only,36,562,238,324,0.4234875444839858,0.7040668119099491,0.5773744750643882,0.2066415258907867,0.03385893164619497,False,,0.2066415258907867,0.0
empirical_group_offset_prior_train_only,train_only,37,560,228,332,0.40714285714285714,0.7182413865990277,0.5746901860037641,0.19907123041794256,0.03763625932300632,False,,0.19907123041794256,0.0
empirical_group_offset_prior_train_only,train_only,38,554,221,333,0.3989169675090253,0.7126628891334774,0.5531365259369285,0.20080703722303886,0.04037306879593637,False,,0.20080703722303886,0.0
empirical_group_offset_prior_train_only,train_only,39,548,214,334,0.3905109489051095,0.7185069114108232,0.5507988187446463,0.19750337217816685,0.0383797459343866,False,,0.19750337217816685,0.0
empirical_group_offset_prior_train_only,train_only,40,540,210,330,0.3888888888888889,0.7181818181818181,0.5426470995694834,0.19689672427839014,0.033894270857021555,False,,0.19689672427839014,0.0
empirical_group_offset_prior_train_only,train_only,41,534,205,329,0.3838951310861423,0.7236711394469568,0.5433543681809031,0.19369202978174915,0.03245942571785276,False,,0.19369202978174915,0.0
empirical_group_offset_prior_train_only,train_only,42,528,199,329,0.3768939393939394,0.723793740740175,0.5343055045582266,0.19240607768065612,0.032120382425774176,False,,0.19240607768065612,0.0
empirical_group_offset_prior_train_only,train_only,43,518,196,322,0.3783783783783784,0.7257098491570542,0.5458846449012292,0.1910213820470231,0.021832821832821744,False,,0.1910213820470231,0.0
empirical_group_offset_prior_train_only,train_only,44,512,184,328,0.359375,0.7290562036055143,0.5382955595165702,0.18685116353407522,0.028162993920972615,False,,0.18685116353407522,0.0
empirical_group_offset_prior_train_only,train_only,45,504,181,323,0.35912698412698413,0.7262969741545935,0.5316913787931837,0.1875446028978989,0.022213995140770635,False,,0.1875446028978989,0.0
empirical_group_offset_prior_train_only,train_only,46,496,175,321,0.3528225806451613,0.7185313751668891,0.51571875912921,0.1890783761663725,0.017813050509718004,False,,0.1890783761663725,0.0
empirical_group_offset_prior_train_only,train_only,47,490,166,324,0.33877551020408164,0.7186523873270861,0.50872666248066,0.18653009993253505,0.02599721706864569,False,,0.18653009993253505,0.0
empirical_group_offset_prior_train_only,train_only,48,488,160,328,0.32786885245901637,0.7185213414634146,0.480353533571483,0.1842327877771015,0.028944080566387878,False,,0.1842327877771015,0.0
empirical_group_offset_prior_train_only,train_only,49,484,153,331,0.31611570247933884,0.7174239282822897,0.46282454730406625,0.18205797605029028,0.03278152886744681,False,,0.18205797605029028,0.0
empirical_group_offset_prior_train_only,train_only,50,476,145,331,0.30462184873949577,0.7057922700281279,0.4213218437581864,0.18311680557092885,0.03742033726242165,False,,0.18311680557092885,0.0
empirical_group_offset_prior_train_only,train_only,51,464,139,325,0.2995689655172414,0.6977199778638628,0.40751259802702716,0.18401921835254353,0.036776906490574884,False,,0.18401921835254353,0.0
empirical_group_offset_prior_train_only,train_only,52,458,136,322,0.29694323144104806,0.6987120935330654,0.4008761588324559,0.18239227106605155,0.03174202752309552,False,,0.18239227106605155,0.0
empirical_group_offset_prior_train_only,train_only,53,448,134,314,0.29910714285714285,0.6969768989447667,0.40403796243282675,0.18294377872033654,0.022935324281380936,False,,0.18294377872033654,0.0
empirical_group_offset_prior_train_only,train_only,54,438,129,309,0.2945205479452055,0.6950402649205991,0.39802709608212933,0.18204292713340556,0.022300917483071184,False,,0.18204292713340556,0.0
empirical_group_offset_prior_train_only,train_only,55,438,128,310,0.2922374429223744,0.6931703629032258,0.3918196451151853,0.18170408741118432,0.01964115467050886,False,,0.18170408741118432,0.0
empirical_group_offset_prior_train_only,train_only,56,434,124,310,0.2857142857142857,0.6862903225806452,0.3744285786553462,0.18129512076854765,0.016826741284126145,False,,0.18129512076854765,0.0
empirical_group_offset_prior_train_only,train_only,57,432,122,310,0.2824074074074074,0.6827604442094131,0.3653383774100332,0.18096936990339085,0.013998171991734212,False,,0.18096936990339085,0.0
empirical_group_offset_prior_train_only,train_only,58,422,120,302,0.2843601895734597,0.6804911699779249,0.3665174196712177,0.18197087121015995,0.006363259984622214,False,,0.18197087121015995,0.0
empirical_group_offset_prior_train_only,train_only,59,418,116,302,0.27751196172248804,0.6789792189997716,0.35135401995938,0.17998996456881292,0.008918346536983285,False,,0.17998996456881292,0.0
empirical_group_offset_prior_train_only,train_only,60,416,114,302,0.27403846153846156,0.675206227489253,0.3443795702808768,0.17966380887447,0.012535003606432104,False,,0.17966380887447,0.0
empirical_group_offset_prior_train_only,train_only,61,412,112,300,0.27184466019417475,0.6716666666666666,0.3410326947448361,0.17966152881860323,0.013576556317166479,False,,0.17966152881860323,0.0
empirical_group_offset_prior_train_only,train_only,62,410,111,299,0.2707317073170732,0.6698604959474525,0.3397239003605622,0.17966355432289627,0.013127407833943379,False,,0.17966355432289627,0.0
