condition,model,group,offset,sample_count,positive_count,negative_count,positive_rate,auroc,auprc,brier,ece,undefined_discrimination,undefined_reason,empirical_brier,brier_skill_score_vs_empirical
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,56,217,95,122,0.4377880184331797,0.717083692838654,0.6650865467109544,0.22041904126304854,0.11217922882829093,False,,0.2467231406746477,0.10661383176167583
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,57,216,93,123,0.4305555555555556,0.7116006643937407,0.6457341767098131,0.22217957723902154,0.12058686542481081,False,,0.24567182629589382,0.09562451425983853
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,58,211,91,120,0.4312796208530806,0.7124542124542125,0.6454984461457391,0.22095275566385525,0.1200279729396776,False,,0.2453854941634914,0.0995687971814565
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,59,209,88,121,0.42105263157894735,0.7148760330578512,0.6379645849584559,0.21961951868451868,0.11313405939594776,False,,0.24393184879245497,0.09966853540564935
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,60,208,86,122,0.41346153846153844,0.7193099504384293,0.6374952219712718,0.21808380126189467,0.11805528469553951,False,,0.24272303930132316,0.10151173992527618
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,61,206,84,122,0.4077669902912621,0.7273614363778298,0.6406768761511846,0.21395705954633631,0.12093286942859137,False,,0.24161278287695348,0.1144629973684026
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,62,205,83,122,0.40487804878048783,0.7280268615445388,0.6409550841489122,0.21145712674255346,0.11078786215398426,False,,0.2409881385710734,0.12254134997524169
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,63,201,78,123,0.3880597014925373,0.7165937043985825,0.6210236949570954,0.21450245777161966,0.1046056416208659,False,,0.23770773753538663,0.0976210535019395
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,64,198,77,121,0.3888888888888889,0.7261994204142964,0.6292493625017739,0.2092019887523618,0.08736581139104027,False,,0.23767072031013167,0.1197822412479822
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,65,197,77,120,0.39086294416243655,0.7300865800865801,0.6311398238726704,0.2073974366505403,0.09211250653274203,False,,0.23813094094436135,0.12906136502858667
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,66,195,74,121,0.37948717948717947,0.7290596381505472,0.6246839673546417,0.20654393472587362,0.096153402615416,False,,0.2354781453970776,0.122874293163866
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,67,193,72,121,0.37305699481865284,0.7330119375573921,0.6300444009134509,0.2036135666584154,0.09081425128780692,False,,0.23388584674877022,0.129431859649344
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,68,191,71,120,0.3717277486910995,0.7384976525821596,0.6371677830125255,0.20076988930887216,0.0814102347315047,False,,0.23357386728020435,0.1404436992601542
A_chunk_only,monotone_conditional_survival_shared_mlp,arm,69,191,70,121,0.36649214659685864,0.7409681227863046,0.6311708084672555,0.19925990660448734,0.07550017074995002,False,,0.2322127297825423,0.14190791008276726
